"ID","uso_internet","sexo","edad","estudios"
"553",1,"Mujer",20,"Form Profesional"
"554",1,"Hombre",37,"Maestría"
"555",0,"Mujer",85,"Maestría"
"556",0,"Mujer",75,"Primaria"
"557",0,"Hombre",80,"Primaria"
"558",1,"Hombre",33,"Secundaria"
"559",0,"Mujer",77,"Sin estudios"
"560",0,"Mujer",52,"Primaria"
"561",0,"Hombre",37,"Primaria"
"562",0,"Mujer",57,"Primaria"
"563",1,"Hombre",28,"Form Profesional"
"564",0,"Hombre",62,"Primaria"
"565",0,"Hombre",33,"Primaria"
"566",1,"Hombre",50,"Maestría"
"567",0,"Hombre",75,"Primaria"
"568",1,"Mujer",26,"Maestría"
"569",1,"Mujer",41,"Universitarios"
"570",1,"Mujer",35,"Primaria"
"571",1,"Mujer",34,"Maestría"
"572",1,"Mujer",44,"Universitarios"
"573",1,"Hombre",18,"Primaria"
"574",1,"Hombre",26,"Secundaria"
"575",0,"Mujer",62,"Primaria"
"576",0,"Hombre",54,"Secundaria"
"577",0,"Hombre",64,"Form Profesional"
"578",1,"Hombre",36,"Maestría"
"579",0,"Mujer",31,"Form Profesional"
"580",1,"Mujer",54,"Universitarios"
"581",0,"Mujer",41,"Secundaria"
"582",1,"Mujer",20,"Universitarios"
"583",1,"Mujer",65,"Secundaria"
"584",0,"Hombre",53,"Form Profesional"
"585",0,"Mujer",65,"Universitarios"
"586",0,"Hombre",76,"Primaria"
"588",0,"Mujer",58,"Primaria"
"589",1,"Mujer",46,"Universitarios"
"590",0,"Hombre",23,"Primaria"
"591",0,"Mujer",80,"Sin estudios"
"592",1,"Hombre",43,"Primaria"
"593",1,"Mujer",37,"Secundaria"
"594",1,"Hombre",28,"Primaria"
"595",1,"Mujer",47,"Secundaria"
"596",0,"Mujer",86,"Sin estudios"
"597",0,"Hombre",48,"Primaria"
"598",0,"Hombre",74,"Primaria"
"599",1,"Hombre",35,"Primaria"
"600",0,"Mujer",59,"Primaria"
"601",1,"Mujer",26,"Universitarios"
"602",1,"Hombre",25,"Secundaria"
"603",0,"Hombre",75,"Primaria"
"604",1,"Mujer",42,"Primaria"
"605",0,"Mujer",84,"Sin estudios"
"606",1,"Mujer",31,"Primaria"
"607",1,"Hombre",32,"Primaria"
"608",1,"Hombre",22,"Form Profesional"
"609",0,"Hombre",59,"Primaria"
"610",0,"Mujer",57,"Primaria"
"611",1,"Hombre",40,"Form Profesional"
"612",1,"Hombre",46,"Secundaria"
"613",1,"Hombre",43,"Form Profesional"
"614",1,"Mujer",43,"Maestría"
"615",1,"Mujer",28,"Maestría"
"616",1,"Hombre",70,"Form Profesional"
"617",1,"Mujer",53,"Maestría"
"618",0,"Mujer",27,"Secundaria"
"619",1,"Mujer",40,"Universitarios"
"620",1,"Hombre",31,"Universitarios"
"621",0,"Mujer",56,"Primaria"
"622",1,"Mujer",27,"Form Profesional"
"623",0,"Mujer",75,"Primaria"
"624",0,"Hombre",42,"Primaria"
"625",1,"Mujer",46,"Primaria"
"626",1,"Hombre",48,"Form Profesional"
"627",0,"Mujer",81,"Sin estudios"
"628",0,"Hombre",52,"Primaria"
"629",0,"Mujer",30,"Primaria"
"630",1,"Hombre",43,"Primaria"
"631",0,"Mujer",18,"Primaria"
"632",1,"Mujer",42,"Secundaria"
"633",0,"Hombre",72,"Sin estudios"
"634",0,"Hombre",21,"Primaria"
"635",0,"Hombre",63,"Primaria"
